[2020-11-27T01:49:19.510235+00:00] log.DEBUG: SELECT `Per_EmployeeType_id` AS `lf`, `Per_EmployeeType_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_employeetype` [] []
[2020-11-27T01:49:19.658331+00:00] log.DEBUG: SELECT `Per_Type_id` AS `lf`, `Per_Type_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_type` [] []
[2020-11-27T01:49:19.807229+00:00] log.DEBUG: SELECT `Per_Position_id` AS `lf`, `Per_Position_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_position` [] []
[2020-11-27T01:49:19.899570+00:00] log.DEBUG: SELECT `Per_Administrative_id` AS `lf`, `Per_Administrative_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_administrative` [] []
[2020-11-27T01:49:19.988930+00:00] log.DEBUG: SELECT `Per_Academic_id` AS `lf`, `Per_Academic_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_academic` [] []
[2020-11-27T01:49:20.064988+00:00] log.DEBUG: SELECT `Per_WorkStatus_id` AS `lf`, `Per_WorkStatus_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_workstatus` [] []
[2020-11-27T01:49:20.131434+00:00] log.DEBUG: SELECT `Per_Nationality_id` AS `lf`, `Per_Nationality_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_nationality` [] []
[2020-11-27T01:49:20.196655+00:00] log.DEBUG: SELECT `Per_Religion_id` AS `lf`, `Per_Religion_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_religion` [] []
[2020-11-27T02:52:07.202139+00:00] log.DEBUG: SELECT `Per_Type_id` AS `lf`, `Per_Type_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_type` [] []
[2020-11-27T02:52:07.294359+00:00] log.DEBUG: SELECT `Per_EmployeeType_id` AS `lf`, `Per_EmployeeType_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_employeetype` [] []
[2020-11-27T02:52:07.373776+00:00] log.DEBUG: SELECT `Per_Position_id` AS `lf`, `Per_Position_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `per_position` [] []
